2013-04-27 22:43:58 configure libcomerr2 1.41.12-4stable1 1.41.12-4stable1
2013-04-27 22:43:58 status unpacked libcomerr2 1.41.12-4stable1
2013-04-27 22:43:58 status half-configured libcomerr2 1.41.12-4stable1
2013-04-27 22:43:58 status installed libcomerr2 1.41.12-4stable1
2013-04-27 22:43:58 configure mawk 1.3.3-15 1.3.3-15
2013-04-27 22:43:58 status unpacked mawk 1.3.3-15
2013-04-27 22:43:58 status half-configured mawk 1.3.3-15
2013-04-27 22:43:58 status installed mawk 1.3.3-15
2013-04-27 22:43:59 configure libdb4.8 4.8.30-2 4.8.30-2
2013-04-27 22:43:59 status unpacked libdb4.8 4.8.30-2
2013-04-27 22:43:59 status half-configured libdb4.8 4.8.30-2
2013-04-27 22:43:59 status installed libdb4.8 4.8.30-2
2013-04-27 22:43:59 configure hostname 3.04 3.04
2013-04-27 22:43:59 status unpacked hostname 3.04
2013-04-27 22:43:59 status half-configured hostname 3.04
2013-04-27 22:43:59 status installed hostname 3.04
2013-04-27 22:43:59 configure libacl1 2.2.49-4 2.2.49-4
